web-scraper-order,web-scraper-start-url,job-link,job-link-href,job-title,job-address,job-details,job-location,job-summary,job-type,job-location-2
1707913118-11,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON",,"Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-12,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON",Position Summary,"Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-13,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON",,"Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-14,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON","Thales requires a Project Manager (PM) who will be responsible and accountable for the delivery of the assigned project, its business rhythm and all associated governance aspects in order to ensure successful project execution. The role will demand an individual with highly developed communication and influencing skills and an equal depth of domain experience that can ensure Thales delivers the project to the schedule, cost and quality requirements and to the satisfaction of the customer. The ability to lead and motivate an integrated project team will be key to the success of the PM and the execution of the project.","Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-15,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON",,"Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-16,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON","The PM will produce detailed work plans, schedules, project estimates, resource plans, and regular status reports for the customer and Thales internal management for complex projects, which may include Firm Fixed Price and/or Service based contracts. The PM will engage with various stakeholders within the Thales matrix organization and within the customer community on the project. The PM will be accountable for driving Execution Excellence on their project and supporting Project Management Office (PMO) initiatives within Thales Canada Defence & Security.","Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-17,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON",,"Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-18,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON",Essential Functions / Key Areas of Responsibility,"Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-19,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON",,"Ottawa, ON",,Full-time,"Ottawa, ON"
1707913118-20,https://ca.indeed.com/jobs?q=home%20hardware&l=Kanata%2C%20ON&from=searchOnHP,Project Manager,https://ca.indeed.com/rc/clk?jk=f5858dc614645b78&bb=pXAQ2TfHWy1TNIh94LZB1h9FaBAMsjwemRYt3pdykpbbnw0_sZNhpEM7CxuyV9zeNk1Ns5U1xPI2FZ2pcWX8etT5a23I8YDSmjNdGoYONtA%3D&xkcb=SoDV67M3ET5gnoWbJZ0AbzkdCdPP&fccid=b920aab5fd60595d&vjs=3,Project Manager,"Ottawa, ON",The Project Manager will be required to:,"Ottawa, ON",,Full-time,"Ottawa, ON"
